Vendedor,Frequência_de_Visita
ECECB198,110
ECECB040,106
ECECB590,106
ECECB023,100
ECECB318,98
ECECB024,92
ECECB026,91
ECECB046,90
ECECB428,88
ECECB213,88
ECECB089,82
ECECB013,82
ECECB106,76
ECECB012,70
ECECBA66,59
ECECBA99,59
ECECB307,58
ECECBA62,50
ECECB096,50
ECECBA88,40
ECECBA08,39
ECECB108,22
ECECBA29,20
ECECBA04,20
ECECBA40,20
ECECBA06,16
ECECB080,16
ECECBA39,16
ECECBA93,8
