Vendedor,Visitas,Total Visitas,Total Km,Total Horas
ECECB507,"[11804079, 11807463, 11825202, 11828574, 11832451, 11833930, 11834171, 11835452, 11836427, 11837932, 11935307, 12129386]",12,43.102598044673165,2.0
ECECB209,"[11804079, 11813391, 11817336, 11820499, 11823242, 11823476, 11824218, 11833954, 11835133, 11838096, 11840446, 12297971]",12,51.97631786178562,2.0
ECECB201,"[11804079, 11807463, 11815059, 11825202, 11832451, 11833930, 11834171, 11835452, 11836427, 11837932, 11840446, 11935307]",12,39.507909688028775,2.0
ECECB234,"[11804079, 11807463, 11813391, 11817336, 11820499, 11823242, 11823476, 11827057, 11833954, 11835133, 12138873, 12297971]",12,51.02683710604558,2.0
ECECB618,"[11835326, 11812637, 12442187]",3,0.17924042168413956,0.5
ECECB251,"[11804079, 11807463, 11815059, 11825202, 11832451, 11833930, 11834171, 11835452, 11836427, 11837932, 11840446, 11841462]",12,54.960453378870454,2.0
ECECB252,"[11804079, 11807463, 11815059, 11825202, 11832451, 11833930, 11834171, 11835452, 11836427, 11837932, 11840446, 11935307]",12,46.111281703983906,2.0
ECECB203,"[11804079, 11807463, 11815059, 11825202, 11832451, 11833930, 11834171, 11835452, 11836427, 11837932, 11935307, 12129386]",12,39.463248361493285,2.0
ECECBA55,"[11813391, 11817336, 11824218, 11833954, 11838096, 12457374, 12604008, 12649948, 12984028, 11824356, 11969741, 12654688]",12,52.90521204386273,2.0
ECECBA57,"[11838301, 13241289, 13657723, 13714733, 11838331, 14196697, 13786535]",7,12.579468781464861,1.1666666666666665
ECECB044,"[11838501, 13946464, 11841170, 11961027, 13936634, 11842466, 12040156, 12890401, 11842505, 13990141, 11839893, 11842504]",12,33.28342127215325,2.0
ECECB240,"[11804079, 11813391, 11817336, 11825202, 11832451, 11833954, 11834171, 11835452, 11836427, 11840446, 12446959, 12781576]",12,66.5593350174008,2.0
ECECB509,"[11815059, 11835452, 11841462, 12553038, 13022223, 13772383, 11972619, 12275034, 13657027, 13663677, 13706928, 13990170]",12,54.07925579329181,2.0
ECECB023,"[11843708, 12451742, 12781059, 12776609, 14193276, 12295540, 12872745, 11843903, 11843602, 11858470, 13241762, 14149781]",12,13.514586439808594,2.0
ECECB264,"[11845165, 11845408, 11846412, 13439116, 13786801, 14186118, 11845909, 11846442, 13150135, 13536853, 11845014, 13356863]",12,47.072250832770536,2.0
ECECBA65,"[11845165, 11845408, 11846412, 13439116, 13786801, 14186118, 11845909, 11846442, 13150135, 13536853, 11845014, 13356863]",12,21.64023455099861,2.0
ECECBA41,"[11845581, 11846548, 13885937, 13932548, 14017315, 12494417, 11845216, 12132989, 13042648, 14190048, 11845247]",11,44.07998578260041,1.8333333333333335
ECECB556,"[11845165, 11845408, 11846412, 13439116, 13786801, 14186118, 11845909, 11846442, 13150135, 13536853, 11845014, 13356863]",12,27.368709733555146,2.0
ECECBA02,"[11846783, 11867167, 12627511, 11846752, 14191308, 11846756, 12979362, 12283499, 13504903, 12496929, 12983692, 14153300]",12,50.198834981802506,2.0
ECECB066,"[11847503, 13242704, 11924766, 13409087, 13711316, 11868373, 11924696, 11924805, 11924785, 12090942]",10,26.484336087100555,1.6666666666666667
ECECB071,"[11847700, 11847701, 11847730, 11852701, 11873995, 12891686, 13042918, 13873338, 11879157, 12462160, 12533218, 12733701]",12,30.56963012257426,2.0
ECECB071,"[11847700, 11847701, 11847730, 11852701, 11873995, 13042918, 13873338, 11879157, 12462160, 12533218, 13436099, 13656038]",12,14.46810145806421,2.0
ECECB073,"[11847700, 11847701, 11847730, 11852701, 11873995, 12891686, 13042918, 13873338, 11879157, 12462160, 12533218, 13436099]",12,18.907889538372167,2.0
ECECB562,"[11848188, 14081391, 11848714, 11849495, 11848410, 11849247, 11851995, 11848441]",8,30.764586836373333,1.3333333333333333
ECECB040,"[11848218, 11848341, 11853199, 11886402, 11853203, 12576710, 13025535, 11848533, 12613729, 11848370]",10,10.652425143749475,1.6666666666666667
ECECB562,"[11848472, 11848215, 11931830, 12524505]",4,1.5249955633737533,0.6666666666666666
ECECB408,"[11849053, 11848653, 13961960, 13149991, 13926805, 11848401, 13784008, 11848754]",8,1.3765400899826032,1.3333333333333333
ECECB027,"[11849522, 14010735, 14166948, 11914928, 13357089, 11902855, 11850489, 12151612, 11849361, 12289323, 13534170, 11849421]",12,38.043641127182724,2.0
ECECBA14,"[11849644, 11850367, 11883126, 12872778, 14080085, 11849540, 13442154, 13714750, 13060688, 13535931, 11849604, 11850035]",12,23.214700888894214,2.0
ECECB401,"[11849761, 11850064, 14095550, 11849760, 12287222]",5,9.382567165154251,0.8333333333333333
ECECB055,"[11850007, 11883010, 11883112, 11883126, 12910898, 12986796, 12796238, 11849988, 11883125, 12968275, 13701577, 12232659]",12,62.97128713180793,2.0
ECECB402,"[11850122, 14089678, 14183918, 13705553, 12957733, 13705172, 11850103, 13238462, 11899557, 12521829, 13437836]",11,42.18198779454577,1.8333333333333335
ECECBA14,"[11849644, 11850367, 12872778, 14080085, 11849540, 13442154, 13714750, 13060688, 13535931, 11849604, 11850035, 12182015]",12,16.916299630110668,2.0
ECECBA95,"[11850683, 12519572, 12025271, 12469766, 12551788, 11851387, 12984033, 13712701, 14201273, 13658510, 14196413, 13149689]",12,20.322204756673617,2.0
ECECBA52,"[11850742, 12295254, 12575461, 12961925, 13439599, 12295316, 13241662, 13713856, 13976911, 13924546, 12295275, 13357417]",12,15.319977380927522,2.0
ECECB245,"[11851050, 13435559, 11852291, 12482818, 11875389, 12873339, 12651969, 13713556, 12178413, 12924388]",10,43.41840427803168,1.6666666666666667
ECECBA13,"[11852216, 11852396, 11853238, 11852198, 11853024, 12778847, 11852325, 12968681, 12613052, 12968913, 11852845, 11873066]",12,64.1246452927442,2.0
ECECB071,"[11847700, 11847701, 11847730, 11852701, 11873995, 12891686, 13042918, 13873338, 11879157, 12462160, 12533218, 12733701]",12,27.34931886837343,2.0
ECECB287,"[11854265, 11886069, 11886886, 13241680, 11856045, 11856679, 12665907, 12727894, 13705360, 11857289, 12455399, 13357804]",12,41.982776780304015,2.0
ECECB568,"[11855871, 12895715]",2,0.06765558578198923,0.3333333333333333
ECECB421,"[11856992, 12873363, 13060036, 13504793, 11881978, 13664319, 11881728, 11881797, 12548022, 13239409, 14231675, 12129394]",12,13.668617737691125,2.0
ECECB198,"[11857436, 13241680, 11856045, 11856679, 12727894, 13705360, 11857289, 12455399, 13357804, 11853728, 12456387, 12609074]",12,58.07429822345057,2.0
ECECB186,"[11857836, 11858723, 12283179, 12439324, 13435701, 14134890, 11857064, 12131193, 13356738, 11855912, 11858521, 11860557]",12,27.347868318144343,2.0
ECECB426,"[11857836, 11858723, 12283179, 12439324, 13435701, 14134890, 11857064, 12131193, 13356738, 11855912, 11858521, 11860557]",12,40.755845414109224,2.0
ECECB143,"[11859095, 11863111, 12220215, 12500199, 13436170, 13989087, 11862443, 11877654, 12169305, 12582902, 12987032, 13520315]",12,37.96517132660413,2.0
ECECB426,"[11860949, 11929784, 11930337, 11929795, 13714759, 12260864, 14035303, 11929828, 12749398, 12448009, 11929923, 12674309]",12,42.93809891933333,2.0
ECECB058,"[11861082, 13440992, 13441476, 11861073, 14231390]",5,1.8002433701632587,0.8333333333333333
ECECB448,"[11863034, 12220215, 12500199, 13436170, 13989087, 11862443, 11867550, 11877654, 12169305, 12582902, 12833302, 12987032]",12,59.35295294539197,2.0
ECECB607,"[11859095, 11863111, 12220215, 12500199, 13436170, 13989087, 11862443, 11877654, 12169305, 12582902, 12987032, 13520315]",12,46.499811678775174,2.0
ECECB259,"[11863187, 11862936, 11863316, 11862829, 12679528, 13503233, 12170729, 11863215, 12141555, 11863437, 12435974, 12537579]",12,23.97401562817469,2.0
ECECB313,"[11864774, 11945058, 12223927, 12268182, 14032404, 11865950, 14176937, 11865609, 11865221, 12622946, 12984415, 11865671]",12,21.470347491047242,2.0
ECECB127,"[11866878, 13043004, 11881617, 11867104, 11878898, 12667217, 12626742, 11866827, 12749164, 11879511, 13713189, 11867153]",12,19.479926958616016,2.0
ECECBA01,"[11846783, 11867167, 12627511, 11846752, 14191308, 11846756, 12979362, 12283499, 12496929, 12983692, 11867239, 13713036]",12,48.297174274270894,2.0
ECECB062,"[11867330, 13659455, 11867647, 11867665, 11869342, 12773240, 13905908, 11869442, 13439657, 14208381, 14240203, 11867689]",12,21.367599514195547,2.0
ECECB436,"[11869028, 12657920, 11868949, 13982160]",4,2.580003669054448,0.6666666666666666
ECECB278,"[11870057, 11935310, 12537600, 12653994, 13242903, 13397197, 14162012, 11895403, 11895515, 11896372, 12652363, 12665973]",12,53.762620795238696,2.0
ECECB087,"[11871160, 11872386, 11885306, 11885737, 13079657, 11871531, 12156627, 12893505, 13783833, 11870367, 12227463, 13884301]",12,61.59739904853758,2.0
ECECB011,"[11872002, 12575411, 13241471, 11872030, 14067009, 11872034]",6,1.5464439975701274,0.9999999999999999
ECECB081,"[11871160, 11872386, 13079657, 11871531, 12156627, 13238433, 13783833, 11870367, 12227463, 13884301, 11933265, 12629043]",12,32.77213587554536,2.0
ECECB071,"[11847700, 11847701, 11847730, 11852701, 11873995, 13042918, 13873338, 11879157, 12462160, 12533218, 13436099, 13656038]",12,22.98664814806367,2.0
ECECB023,"[11874997, 13438758, 11875076]",3,12.947018628001391,0.5
ECECB569,"[11875304, 12845188, 11875076, 11843359, 12660477, 12986795]",6,31.524862221797857,0.9999999999999999
ECECB599,"[11875819, 12128762, 13357563, 13785095, 13933014, 13060143, 11866509, 12776527, 12896922]",9,44.102517508409896,1.5
ECECB318,"[11875990, 12199183, 13242046, 13205368, 12913062, 13240806, 11872976, 12432485, 14174753, 13079845, 13241502, 11875984]",12,26.804663789242362,2.0
ECECB318,"[11876002, 13712070, 11866529, 12042913, 12606656, 12813908, 13214461, 13536976, 12902789, 13707434, 12634804, 12688699]",12,70.1594578376491,2.0
ECECB061,"[11876821, 12758999, 12864741, 13692180, 14080880, 14109906, 11875466, 11875818, 11876182, 11876642, 12217328, 13690663]",12,27.53696019922359,2.0
ECECB055,"[11877229, 12537586, 14209365, 11865130, 11878210, 12671927, 12892210, 11878529, 12608783, 14175007, 13213409, 11851694]",12,32.38479693912328,2.0
ECECB403,"[11877901, 11880359, 11880625, 12211732, 13210082, 13210671, 14146856, 11880157, 11880416, 11880696, 12432066, 12129002]",12,23.543931144629465,2.0
ECECBA95,"[11879096, 12571595, 11879110, 13435808, 11852083, 12447793]",6,11.937768031963484,0.9999999999999999
ECECB124,"[11879395, 12968610, 13653037, 14206128, 12140159, 12534757, 13969052, 11879457, 12202937, 12680263, 12793480, 11873918]",12,26.249937383771048,2.0
ECECBA16,"[11879433, 11878500, 13442112, 11878457, 11878987, 12181344, 12282197, 12859628, 12912745, 11878857, 13658315, 11878641]",12,39.28668207820411,2.0
ECECB295,"[11814985, 11815020, 11880314, 12874738, 13438776, 11880252, 12495148, 13503309, 11864532, 12716597, 11872182, 11880125]",12,54.190411926285805,2.0
ECECB406,"[11877901, 11880359, 11880625, 12211732, 13210082, 13210671, 14146856, 11880157, 11880416, 11880696, 12432066, 12129002]",12,20.851164860250677,2.0
ECECB403,"[11877901, 11880359, 11880625, 12211732, 13210082, 13210671, 14146856, 11880157, 11880416, 11880696, 12432066, 12129002]",12,24.0150929191669,2.0
ECECB395,"[11881927, 11855582, 14123346, 13536768]",4,12.039141706057096,0.6666666666666666
ECECBA90,"[11882023, 11882090, 14020615]",3,6.192370887816621,0.5
ECECBA02,"[11882611, 11882690, 13939971, 12980915, 13663875, 11808007, 12899653, 14030024, 12918512, 14153300, 11808550, 11882780]",12,43.86874421751746,2.0
ECECBA02,"[11882611, 11882690, 13939971, 12980915, 11808007, 12899653, 12918512, 14153300, 11808550, 11882780, 12011071, 11808315]",12,49.413808057643905,2.0
ECECB601,"[11850007, 11883010, 11883112, 11883126, 11850035, 13442344, 12910898, 12986796, 11883430, 11850226, 11883125, 12232659]",12,30.028632414892062,2.0
ECECB055,"[11850007, 11883010, 11883112, 11883126, 13442344, 12910898, 12986796, 11883430, 11850226, 11883125, 12232659]",11,23.48418964028875,1.8333333333333335
ECECB060,"[11849644, 11850007, 11883010, 11883112, 11883126, 11850035, 12182015, 13442344, 13437299, 11850535, 12440262, 12899773]",12,64.90055516171452,2.0
ECECB601,"[11883385, 13710635, 12207970, 12979063]",4,3.611822867886384,0.6666666666666666
ECECB415,"[11884666, 11885163, 12733381, 12664201, 14019183, 11885098, 13883398, 11884638, 11884898, 14056692, 13536984, 14056385]",12,14.803174274546123,2.0
ECECB415,"[11884666, 11885163, 12733381, 12664201, 14019183, 11885098, 13883398, 11884638, 11884898, 14056692, 13536984, 14056385]",12,14.721034589805006,2.0
ECECB099,"[11871160, 11885306, 11885737, 12893505, 11933265, 12542331, 14191921, 11965436, 11871052, 12911385, 12987499, 13941335]",12,25.79130175504692,2.0
