COUNTRY_NAME,POC,Vendedor,Frequência_de_Visita,Dia_da_Visita,Semana_da_Visita,AVG_LATITUDE,AVG_LONGITUDE,Número_de_Compras,Faturamento_Mensal_USD,Faturamento_Mensal_USD_(formatado),Visita_Semanal,Semana_1,Semana_2,Semana_3,Semana_4,Dia_da_Semana,Quartil_Faturamento
EC,12535394,ECECB094,2,3,2.0,-1.4921307,-78.0119578,12,2195.68,"$2,195.68",0.5,0,1,0,0,ter,Q1
EC,12541644,ECECB408,2,4,1.0,-0.41671315,-79.46035045,7,2028.41,"$2,028.41",0.5,1,0,0,0,qua,Q1
EC,12542769,ECECB133,2,7,2.0,-1.75873205,-80.02355575,12,5209.18,"$5,209.18",0.5,0,1,0,0,sab,Q3
EC,12548490,ECECBA77,2,3,2.0,0.58544295,-77.8264617,13,2475.11,"$2,475.11",0.5,0,1,0,0,ter,Q2
EC,12549949,ECECB273,4,4,CMPL,-2.901090475,-79.005192775,11,2877.28,"$2,877.28",1.0,0,0,0,0,qua,Q2
EC,12551828,ECECB189,1,5,1.0,-0.2888142,-79.1945284,8,4928.74,"$4,928.74",0.25,1,0,0,0,qui,Q3
EC,12554537,ECECB553,1,5,2.0,-2.8925321,-79.0003154,6,2725.66,"$2,725.66",0.25,0,1,0,0,qui,Q2
EC,12556296,ECECB024,4,7,CMPL,-1.404824725,-79.302428875,1,11321.08,"$11,321.08",1.0,0,0,0,0,sab,Q4
EC,12564527,ECECB019,2,4,1.0,-0.3470789,-78.44603833333,7,2692.19,"$2,692.19",0.5,1,0,0,0,qua,Q2
EC,12566545,ECECB081,4,2,CMPL,-0.899533825,-78.61087935,3,33275.23,"$33,275.23",1.0,0,0,0,0,seg,Q4
EC,12571065,ECECB018,2,3,1.0,-0.33981765,-77.8097789,6,12030.72,"$12,030.72",0.5,1,0,0,0,ter,Q4
EC,12574306,ECECB487,4,4,CMPL,-0.199013575,-78.481631825,5,3823.7,"$3,823.70",1.0,0,0,0,0,qua,Q3
EC,12575463,ECECB018,2,3,1.0,-0.339135,-77.8085682,5,2510.69,"$2,510.69",0.5,1,0,0,0,ter,Q2
EC,12577012,ECECBA95,1,6,3.0,-4.0453675,-78.6835723,5,18849.07,"$18,849.07",0.25,0,0,1,0,sex,Q4
EC,12603430,ECECB297,2,6,1.0,-2.00212396667,-78.96557913333,12,4965.09,"$4,965.09",0.5,1,0,0,0,sex,Q3
EC,12604774,ECECBA67,4,2,CMPL,-2.6364796,-80.3967624,9,2281.09,"$2,281.09",1.0,0,0,0,0,seg,Q1
EC,12609048,ECECB462,2,5,2.0,-1.57138215,-79.47728505,6,2299.66,"$2,299.66",0.5,0,1,0,0,qui,Q1
EC,12612318,ECECB058,2,2,2.0,0.74407955,-78.24267995,7,3536.65,"$3,536.65",0.5,0,1,0,0,seg,Q3
EC,12613616,ECECB428,4,5,CMPL,-1.063703425,-80.45397545,13,93609.72,"$93,609.72",1.0,0,0,0,0,qui,Q4
