COUNTRY_NAME,POC,Vendedor,Frequência_de_Visita,Dia_da_Visita,Semana_da_Visita,AVG_LATITUDE,AVG_LONGITUDE,Número_de_Compras,Faturamento_Mensal_USD,Faturamento_Mensal_USD_(formatado),Visita_Semanal,Semana_1,Semana_2,Semana_3,Semana_4,Dia_da_Semana,Quartil_Faturamento
EC,11825176,ECECB240,1,6,1.0,-2.1894277,-80.0058385,18,1657.67,"$1,657.67",0.25,1,0,0,0,sex,Q4
EC,11825198,ECECB510,2,4,2.0,-2.248367,-79.9049422,2,303.55,$303.55,0.5,0,1,0,0,qua,Q1
EC,11825211,ECECB277,2,7,2.0,-2.9055104,-79.0051531,7,1171.72,"$1,171.72",0.5,0,1,0,0,sab,Q4
EC,11825270,ECECB225,4,4,CMPL,-2.19644405,-79.9294286,8,809.27,$809.27,1.0,1,1,1,1,qua,Q3
EC,11825350,ECECB519,4,2,CMPL,-2.091346875,-79.927577775,3,290.35,$290.35,1.0,1,1,1,1,seg,Q1
EC,11825512,ECECB501,4,4,CMPL,-2.049139675,-79.94807495,13,2618.0,"$2,618.00",1.0,1,1,1,1,qua,Q4
EC,11825802,ECECB207,2,2,2.0,-2.0423614,-79.86325395,3,340.55,$340.55,0.5,0,1,0,0,seg,Q1
EC,11825868,ECECB511,2,5,1.0,-2.2266801,-79.88929305,2,2739.34,"$2,739.34",0.5,1,0,0,0,qui,Q4
EC,11826027,ECECB197,2,3,1.0,-2.15603425,-79.83087215,4,933.07,$933.07,0.5,1,0,0,0,ter,Q3
EC,11826149,ECECB514,4,5,CMPL,-2.18173375,-79.851895875,4,366.76,$366.76,1.0,1,1,1,1,qui,Q2
EC,11826221,ECECB197,4,2,CMPL,-2.1470999,-79.832817775,6,906.58,$906.58,1.0,1,1,1,1,seg,Q3
EC,11826301,ECECB197,2,2,1.0,-2.147717,-79.8370889,3,376.18,$376.18,0.5,1,0,0,0,seg,Q2
EC,11826750,ECECB251,2,5,1.0,-2.22474715,-79.9272267,4,919.61,$919.61,0.5,1,0,0,0,qui,Q3
EC,11827400,ECECB505,4,3,CMPL,-2.1159714,-79.8992365,2,364.03,$364.03,1.0,1,1,1,1,ter,Q2
EC,11827495,ECECB507,1,4,2.0,-2.1856155,-79.8790885,9,1984.68,"$1,984.68",0.25,0,1,0,0,qua,Q4
EC,11827643,ECECB518,2,3,2.0,-2.0786253,-79.9334064,3,223.55,$223.55,0.5,0,1,0,0,ter,Q1
EC,11827858,ECECBA99,1,7,4.0,-2.1782972,-79.8442104,3,422.34,$422.34,0.25,0,0,0,1,sab,Q2
EC,11827921,ECECB521,4,2,CMPL,-2.2243574,-79.933773175,5,528.59,$528.59,1.0,1,1,1,1,seg,Q2
EC,11827995,ECECBA55,1,4,2.0,-2.1084733,-79.9925413,3,299.83,$299.83,0.25,0,1,0,0,qua,Q1
EC,11828029,ECECB238,4,2,CMPL,-2.225890775,-79.8883965,4,307.61,$307.61,1.0,1,1,1,1,seg,Q1
EC,11828515,ECECB203,4,3,CMPL,-2.19983195,-79.887527675,7,2802.09,"$2,802.09",1.0,1,1,1,1,ter,Q4
EC,11828648,ECECB436,4,4,CMPL,-0.846898275,-80.159404075,3,4678.08,"$4,678.08",1.0,1,1,1,1,qua,Q4
EC,11828926,ECECBA12,2,5,2.0,-3.25605665,-79.8687789,3,221.93,$221.93,0.5,0,1,0,0,qui,Q1
EC,11829381,ECECBA34,2,5,1.0,-3.2392978,-79.83474233333,8,1597.64,"$1,597.64",0.5,1,0,0,0,qui,Q4
EC,11829535,ECECBA12,1,5,1.0,-3.1896071,-79.8529588,6,487.08,$487.08,0.25,1,0,0,0,qui,Q2
EC,11829765,ECECBA12,2,5,2.0,-3.2554985,-79.8693812,5,714.38,$714.38,0.5,0,1,0,0,qui,Q3
EC,11829935,ECECB578,2,6,2.0,-3.50236025,-79.8920152,2,1217.68,"$1,217.68",0.5,0,1,0,0,sex,Q4
EC,11829957,ECECBA12,2,5,2.0,-3.25641636667,-79.86097213333,6,848.22,$848.22,0.5,0,1,0,0,qui,Q3
EC,11829958,ECECBA12,1,5,1.0,-3.2465493,-79.8429077,2,323.76,$323.76,0.25,1,0,0,0,qui,Q1
EC,11829988,ECECBA34,2,5,2.0,-3.24000835,-79.83249455,4,396.78,$396.78,0.5,0,1,0,0,qui,Q2
EC,11830002,ECECBA12,2,4,2.0,-3.113046,-79.8924244,3,665.23,$665.23,0.5,0,1,0,0,qua,Q3
EC,11830197,ECECB582,1,7,2.0,-2.3445971,-79.3064864,7,1064.26,"$1,064.26",0.25,0,1,0,0,sab,Q3
EC,11830255,ECECB582,1,6,1.0,-2.3289548,-79.413182,1,246.66,$246.66,0.25,1,0,0,0,sex,Q1
EC,11830258,ECECB295,4,4,CMPL,-2.209096225,-79.43923665,8,1498.64,"$1,498.64",1.0,1,1,1,1,qua,Q4
EC,11830335,ECECB582,1,3,2.0,-2.3337915,-79.392661,2,370.82,$370.82,0.25,0,1,0,0,ter,Q2
EC,11830453,ECECB582,2,3,1.0,-2.2541018,-79.2078763,3,1549.52,"$1,549.52",0.5,1,0,0,0,ter,Q4
EC,11830705,ECECBA50,2,5,1.0,-0.4631714,-80.00624765,3,265.17,$265.17,0.5,1,0,0,0,qui,Q1
EC,11830951,ECECB555,2,6,2.0,-3.2250164,-79.207461,5,379.57,$379.57,0.5,0,1,0,0,sex,Q2
EC,11831053,ECECB558,2,2,2.0,-4.23031125,-79.43554915,8,969.15,$969.15,0.5,0,1,0,0,seg,Q3
EC,11831098,ECECB558,2,2,1.0,-4.2301044,-79.43124303333,3,423.46,$423.46,0.5,1,0,0,0,seg,Q2
EC,11831144,ECECB281,1,4,3.0,-3.0050788,-78.8099745,6,853.44,$853.44,0.25,0,0,1,0,qua,Q3
EC,11831156,ECECB281,2,4,1.0,-2.89529373333,-78.78301306667,5,297.49,$297.49,0.5,1,0,0,0,qua,Q1
EC,11831162,ECECB281,2,5,2.0,-2.89223126667,-78.77878223333,8,5309.61,"$5,309.61",0.5,0,1,0,0,qui,Q4
EC,11831259,ECECB274,1,6,3.0,-2.8908428,-78.7771731,5,561.46,$561.46,0.25,0,0,1,0,sex,Q2
EC,11831320,ECECB089,1,7,4.0,-2.8962731,-78.868825,2,256.53,$256.53,0.25,0,0,0,1,sab,Q1
EC,11831346,ECECB282,4,4,CMPL,-2.887616025,-78.77614255,7,6847.22,"$6,847.22",1.0,1,1,1,1,qua,Q4
EC,11831390,ECECB234,2,2,2.0,-2.132799,-79.92080193333,2,522.92,$522.92,0.5,0,1,0,0,seg,Q2
EC,11831446,ECECB508,2,3,1.0,-2.19465543333,-79.90729486667,15,3691.62,"$3,691.62",0.5,1,0,0,0,ter,Q4
EC,11831592,ECECB516,2,3,2.0,-2.09524,-79.91034925,3,220.84,$220.84,0.5,0,1,0,0,ter,Q1
EC,11831627,ECECB225,2,4,1.0,-2.19607545,-79.9300213,5,524.7,$524.70,0.5,1,0,0,0,qua,Q2
EC,11831799,ECECB242,4,2,CMPL,-2.2069583,-79.90953312,3,302.17,$302.17,1.0,1,1,1,1,seg,Q1
EC,11831891,ECECB519,2,3,1.0,-2.0880406,-79.93517455,5,366.07,$366.07,0.5,1,0,0,0,ter,Q2
EC,11831904,ECECB519,1,7,1.0,-2.083195,-79.9351859,3,472.13,$472.13,0.25,1,0,0,0,sab,Q2
EC,11832174,ECECB519,1,5,3.0,-2.088055,-79.9324981,3,533.45,$533.45,0.25,0,0,1,0,qui,Q2
EC,11832205,ECECB238,4,2,CMPL,-2.21127695,-79.900434475,3,329.41,$329.41,1.0,1,1,1,1,seg,Q1
EC,11832228,ECECB242,4,2,CMPL,-2.21005836,-79.9078049,3,1537.69,"$1,537.69",1.0,1,1,1,1,seg,Q4
EC,11832291,ECECB003,4,5,CMPL,-2.0955431,-79.92474613333,6,1238.15,"$1,238.15",1.0,1,1,1,1,qui,Q4
EC,11832383,ECECB504,1,5,2.0,-2.1274015,-79.9267755,7,1363.84,"$1,363.84",0.25,0,1,0,0,qui,Q4
EC,11832501,ECECB234,1,3,2.0,-2.1191982,-79.9140781,3,348.75,$348.75,0.25,0,1,0,0,ter,Q1
EC,11832519,ECECB201,2,4,1.0,-2.1922746,-79.91642595,5,761.56,$761.56,0.5,1,0,0,0,qua,Q3
EC,11832596,ECECB205,4,2,CMPL,-2.196242975,-79.91501625,5,2317.07,"$2,317.07",1.0,1,1,1,1,seg,Q4
EC,11832652,ECECB507,1,2,2.0,-2.1872775,-79.9065778,5,557.16,$557.16,0.25,0,1,0,0,seg,Q2
EC,11832664,ECECB507,2,2,2.0,-2.1866414,-79.9080037,3,245.07,$245.07,0.5,0,1,0,0,seg,Q1
EC,11832687,ECECB225,2,5,2.0,-2.1926569,-79.92667003333,1,418.0,$418.00,0.5,0,1,0,0,qui,Q2
EC,11832788,ECECB225,2,4,1.0,-2.19385565,-79.92898165,3,248.52,$248.52,0.5,1,0,0,0,qua,Q1
EC,11832901,ECECB503,2,2,1.0,-2.12199086667,-79.90878956667,1,274.0,$274.00,0.5,1,0,0,0,seg,Q1
